# 読み上げ辞書一覧ファイル（タブ区切りテキスト）
～	ー
…	。。。
白鈴	しろすず
鈴女	すずじょ
風莉	かざり
柚子	ゆず
那波	ななみ
貴船	きふね
大垣	おおがき
立ち尽くす	たちつくす
取っ	とっ
飲み	のみ
、空の	、からの
持っ	もっ
四つん這い	よつんばい
角度的	かくどてき
慌て	あわて
一瞬	いっしゅん
仕草	しぐさ
注ぎ口	そそぎぐち
股間	こかん
下着	したぎ
動かし	うごかし
押し当て	おしあて
脱い	ぬい
剥き出し	むきだし
傾げ	かしげ
上が	あが
起き	おき
大事	だいじ
丸出し	まるだし
恥ず	はず
何だか	なんだか
色々	いろいろ
知れ	しれ
恥じ	はじ
体勢	たいせい
高貴	こうき
身の回り	みのまわり
世話	せわ
他人	たにん
聞い	きい
単なる	たんなる
使用人	しようにん
思わ	おもわ
人間	にんげん
逸ら	そら
必死	ひっし
暮れ	くれ
譲る	ゆずる
上げ	あげ
辺り	あたり
凝ら	こら
分か	わか
本音	ほんね
間近	まぢか
明か	あか
正し	ただし
続け	つづけ
自分	じぶん
寛大	かんだい
言い方	いいかた
元々	もともと
限界	げんかい
身体	からだ
震え	ふるえ
瞬間	しゅんかん
歩み	あゆみ
寄っ	よっ
打つ	うつ
液体	えきたい
溜ま	たま
変え	かえ
女子	じょし
思い	おもい
穿か	はか
切り	きり
知り合	しりあ
眺め	ながめ
間もな	まもな
心地	ここち
聞き	きき
週間	しゅうかん
全て	すべて
始ま	はじま
出会	であ
何故か	なぜか
入院中	にゅういんちゅう
入院	にゅういん
長く	ながく
覚悟	かくご
言わ	いわ
年齢	ねんれい
高齢	こうれい
大往生	だいおうじょう
最期	さいご
言っ	いっ
必ず	かならず
迎え	むかえ
苦し	くるし
引き取	ひきと
最善	さいぜん
結末	けつまつ
何度	なんど
言い聞	いいき
哀し	かなし
浸し	ひたし
余裕	よゆう
悔や	くや
生き返	いきかえ
火葬場	かそうば
待ち	まち
時間	じかん
看病	かんびょう
手続き	てつづき
慌ただし	あわただし
考え	かんがえ
諸々	もろもろ
今度	こんど
空い	あい
始め	はじめ
両親	りょうしん
何年	なんねん
事故	じこ
亡くな	なくな
以来	いらい
育て	そだて
他に	ほかに
親しい	したしい
親類	しんるい
生き	いき
会っ	あっ
親戚	しんせき
ぁ	あ
頼る	たよる
辞め	やめ
働い	はたらい
施設	しせつ
行く	いく
振り方	ふりかた
悩ま	なやま
意外	いがい
軽く	かるく
深刻	しんこく
悩ん	なやん
悩み	なやみ
女性	じょせい
呼び	よび
向け	むけ
強く	つよく
吹き	ふき
木々	きぎ
揺れ	ゆれ
流れ	ながれ
少女	しょうじょ
立っ	たっ
彼女	かのじょ
妖し	あやし
世界	せかい
迷い込	まよいこ
綺麗	きれい
居住まい	いずまい
尋ね	たずね
初め	はじめ
会う	あう
思う	おもう
言葉	ことば
言い	いい
閉ざ	とざ
浮か	うか
生前	せいぜん
間違い	まちがい
火葬	かそう
一目	ひとめ
思っ	おもっ
唯一	ゆいいつ
身内	みうち
知ら	しら
当然	とうぜん
駆け	かけ
申し訳	もうしわけ
覚え	おぼえ
大き	おおき
西園寺家	さいおんじけ
日常	にちじょう
関わ	かかわ
日本	にほん
経済界	けいざいかい
握っ	にぎっ
何％	なんぱーせんと
凄い家	すごいいえ
確か	たしか
同じ歳	おなじとし
立派	りっぱ
残さ	のこさ
仕事	しごと
付き	つき
西園寺	さいおんじ
当時	とうじ
蘇り	よみがえり
温か	あたたか
微笑み	ほほえみ
察し	さっし
話題	わだい
吸い込	すいこ
小さ	ちいさ
引き受け	ひきうけ
同然	どうぜん
同い年	おないどし
学園	がくえん
簡単	かんたん
面倒	めんどう
住ん	すん
違う	ちがう
戸惑い	とまどい
住む	すむ
場所	ばしょ
勉強	べんきょう
貰え	もらえ
願っ	ねがっ
治療	ちりょう
文無し	もんなし
理由	りゆう
深々	ふかぶか
下げ	さげ
親切	しんせつ
素敵	すてき
過ぎ	すぎ
優し	やさし
染み	しみ
最後	さいご
熱く	あつく
知っ	しっ
側から	そばから
離れ	はなれ
遣っ	つかっ
最初	さいしょ
寄る辺	よるべ
目標	もくひょう
失っ	うしなっ
病床	びょうしょう
お金持ち	おかねもち
立て	たて
お仕え	おつかえ
託さ	たくさ
故人	こじん
